algorithm,iterations,keygen_seconds,message_bytes,peak_rss_bytes,reason,repetition,sign_seconds,signature_bytes,status,verify_seconds
RSA-2048/SHA-256,1000,0.021034000,2048,4915200,,9,0.340585000,256,confirmed,0.010375000
P-256/SHA-256,1000,0.000051000,2048,5259264,,9,0.013305000,72,confirmed,0.035344000
Ed25519,1000,0.000034000,2048,5373952,,9,0.018857000,64,confirmed,0.041340000
ML-DSA-44,1000,0.000070000,2048,5537792,,9,0.242554000,2420,confirmed,0.049876000
ML-DSA-65,1000,0.000098000,2048,5586944,,9,0.402823000,3309,confirmed,0.075462000
ML-DSA-87,1000,0.000128000,2048,5849088,,9,0.494324000,4627,confirmed,0.117837000
RSA-2048/SHA-256,1000,0.011388000,2048,4931584,,10,0.346117000,256,confirmed,0.010585000
P-256/SHA-256,1000,0.000054000,2048,5275648,,10,0.013360000,70,confirmed,0.035028000
Ed25519,1000,0.000032000,2048,5373952,,10,0.018618000,64,confirmed,0.041979000
ML-DSA-44,1000,0.000077000,2048,5537792,,10,0.234100000,2420,confirmed,0.049431000
ML-DSA-65,1000,0.000098000,2048,5603328,,10,0.399881000,3309,confirmed,0.075387000
ML-DSA-87,1000,0.000122000,2048,5783552,,10,0.477541000,4627,confirmed,0.117503000
RSA-2048/SHA-256,1000,0.028988000,8192,4915200,,1,0.341639000,256,confirmed,0.012464000
P-256/SHA-256,1000,0.000057000,8192,5259264,,1,0.015315000,72,confirmed,0.037009000
Ed25519,1000,0.000031000,8192,5357568,,1,0.026219000,64,confirmed,0.045189000
ML-DSA-44,1000,0.000072000,8192,5537792,,1,0.256179000,2420,confirmed,0.055535000
ML-DSA-65,1000,0.000097000,8192,5570560,,1,0.423408000,3309,confirmed,0.081013000
ML-DSA-87,1000,0.000129000,8192,5832704,,1,0.482164000,4627,confirmed,0.123391000
RSA-2048/SHA-256,1000,0.009698000,8192,4915200,,2,0.341493000,256,confirmed,0.012386000
P-256/SHA-256,1000,0.000053000,8192,5259264,,2,0.015339000,70,confirmed,0.037037000
Ed25519,1000,0.000031000,8192,5357568,,2,0.026113000,64,confirmed,0.044519000
ML-DSA-44,1000,0.000066000,8192,5619712,,2,0.284372000,2420,confirmed,0.070991000
ML-DSA-65,1000,0.000113000,8192,5652480,,2,0.407642000,3309,confirmed,0.089180000
ML-DSA-87,1000,0.000135000,8192,5832704,,2,0.473827000,4627,confirmed,0.123819000
RSA-2048/SHA-256,1000,0.034187000,8192,4931584,,3,0.341281000,256,confirmed,0.012403000
P-256/SHA-256,1000,0.000052000,8192,5275648,,3,0.015366000,70,confirmed,0.037399000
Ed25519,1000,0.000040000,8192,5373952,,3,0.026117000,64,confirmed,0.045026000
ML-DSA-44,1000,0.000075000,8192,5537792,,3,0.252996000,2420,confirmed,0.055536000
ML-DSA-65,1000,0.000102000,8192,5570560,,3,0.404791000,3309,confirmed,0.080797000
ML-DSA-87,1000,0.000130000,8192,5832704,,3,0.481338000,4627,confirmed,0.123093000
RSA-2048/SHA-256,1000,0.030656000,8192,4882432,,4,0.341067000,256,confirmed,0.012429000
P-256/SHA-256,1000,0.000056000,8192,5242880,,4,0.015299000,72,confirmed,0.037037000
Ed25519,1000,0.000031000,8192,5341184,,4,0.026081000,64,confirmed,0.044762000
ML-DSA-44,1000,0.000066000,8192,5586944,,4,0.286266000,2420,confirmed,0.073043000
ML-DSA-65,1000,0.000104000,8192,5636096,,4,0.413488000,3309,confirmed,0.081022000
ML-DSA-87,1000,0.000123000,8192,5734400,,4,0.483376000,4627,confirmed,0.122929000
RSA-2048/SHA-256,1000,0.012004000,8192,4915200,,5,0.341004000,256,confirmed,0.012359000
P-256/SHA-256,1000,0.000063000,8192,5275648,,5,0.015307000,70,confirmed,0.038080000
Ed25519,1000,0.000039000,8192,5373952,,5,0.027098000,64,confirmed,0.045969000
ML-DSA-44,1000,0.000087000,8192,5619712,,5,0.246558000,2420,confirmed,0.055360000
ML-DSA-65,1000,0.000095000,8192,5652480,,5,0.408674000,3309,confirmed,0.081070000
ML-DSA-87,1000,0.000126000,8192,5718016,,5,0.483361000,4627,confirmed,0.123028000
RSA-2048/SHA-256,1000,0.012406000,8192,4915200,,6,0.341077000,256,confirmed,0.012342000
P-256/SHA-256,1000,0.000051000,8192,5259264,,6,0.015521000,71,confirmed,0.037063000
Ed25519,1000,0.000032000,8192,5357568,,6,0.026363000,64,confirmed,0.045371000
ML-DSA-44,1000,0.000068000,8192,5537792,,6,0.254358000,2420,confirmed,0.055371000
ML-DSA-65,1000,0.000092000,8192,5570560,,6,0.413236000,3309,confirmed,0.080972000
ML-DSA-87,1000,0.000128000,8192,5668864,,6,0.494083000,4627,confirmed,0.123390000
RSA-2048/SHA-256,1000,0.037000000,8192,4882432,,7,0.341631000,256,confirmed,0.012331000
P-256/SHA-256,1000,0.000056000,8192,5226496,,7,0.015321000,72,confirmed,0.036974000
Ed25519,1000,0.000030000,8192,5324800,,7,0.026084000,64,confirmed,0.044687000
ML-DSA-44,1000,0.000073000,8192,5505024,,7,0.249600000,2420,confirmed,0.055553000
ML-DSA-65,1000,0.000105000,8192,5537792,,7,0.396226000,3309,confirmed,0.080930000
ML-DSA-87,1000,0.000131000,8192,5636096,,7,0.472235000,4627,confirmed,0.123180000
RSA-2048/SHA-256,1000,0.020504000,8192,4915200,,8,0.365739000,256,confirmed,0.012621000
P-256/SHA-256,1000,0.000052000,8192,5275648,,8,0.015301000,71,confirmed,0.037145000
Ed25519,1000,0.000032000,8192,5373952,,8,0.026095000,64,confirmed,0.045265000
ML-DSA-44,1000,0.000073000,8192,5554176,,8,0.248083000,2420,confirmed,0.055386000
ML-DSA-65,1000,0.000094000,8192,5701632,,8,0.414524000,3309,confirmed,0.081366000
ML-DSA-87,1000,0.000137000,8192,5767168,,8,0.459548000,4627,confirmed,0.123146000
RSA-2048/SHA-256,1000,0.022919000,8192,4931584,,9,0.341014000,256,confirmed,0.012395000
P-256/SHA-256,1000,0.000051000,8192,5275648,,9,0.015411000,70,confirmed,0.037069000
Ed25519,1000,0.000038000,8192,5373952,,9,0.026025000,64,confirmed,0.044528000
ML-DSA-44,1000,0.000064000,8192,5619712,,9,0.253159000,2420,confirmed,0.055351000
ML-DSA-65,1000,0.000094000,8192,5685248,,9,0.414100000,3309,confirmed,0.080862000
ML-DSA-87,1000,0.000132000,8192,5783552,,9,0.494571000,4627,confirmed,0.125297000
RSA-2048/SHA-256,1000,0.016015000,8192,4882432,,10,0.353872000,256,confirmed,0.013656000
P-256/SHA-256,1000,0.000061000,8192,5226496,,10,0.016240000,71,confirmed,0.038851000
Ed25519,1000,0.000045000,8192,5324800,,10,0.027566000,64,confirmed,0.046592000
ML-DSA-44,1000,0.000090000,8192,5586944,,10,0.247098000,2420,confirmed,0.080951000
ML-DSA-65,1000,0.000112000,8192,5652480,,10,0.416196000,3309,confirmed,0.089361000
ML-DSA-87,1000,0.000132000,8192,5750784,,10,0.463524000,4627,confirmed,0.124656000
